stopword,sentimen
cuy university,positif
lihat dimana abang,negatif
framework css,positif
guys tolong tips kerja programmer web developer software engineer cyber security sarjana,negatif
terimakasih inspirasinya mas umur experience dunia perhotelan usia disaat mudah pekerjaan bidang suka teknologi memutuskan belajar youtube habiskan jam belajar menerapkan ilmu,positif
cerita guys gua mahasiswa bilang bang gua tertarik belajar coding juli kemarin video gua lihat videonya abang dea cuy university sesi jujur gua mengikuti alurnya gua seru nih gua langsung berpikir kodingan naro hasil imajinasi website pakai kodingan seiring berjalannya gua alhamdulillah mengaplikasikan desain coding butuh jam terbang cuman kekurangan gua gua roadmap belajar efektif teman teman kayak diskusi bareng komunitas project bareng sekedar seru seruan memperdalam skil miliki btw thank you banget abang dea playlist cuy university bermanfaat cuman gua sesi lihat gua eksplorasi gua coba lihat orang orang expert coding gua pelajari cuman guys minus plusnya guys coba eksplorasi minusnya bingung roadmap pembelajaran menerima level gua merasai project desain aplikasikan kodingan minggu gua belajar coding sibuk eksplorasi wkwkwk sadar eksplorasi memenuhi ego jago cepat menguasai contohnya coding endinganya tau wkwk oke segini guys cerita gua semangat belajar percaya proses,positif
belajar seharian otodidak worth,negatif
ya minimal sarjana diuar pulau jawa lowongan kerja programmer,positif
gua belajar coding teori praktek ya gua menonton video motivasi niat belajar wkwkwkw thankyouu abang dea ilmu ilmu sharing sharing motivasi ya berguna banget mager,positif
dikasus gua gua orang suka coding pengennya malesan rebahan gampang jenuh main game nonkrong bangun kesiangan penjelasan abang dea nih gua tangkap butuh jadikan kegiatan hobi hobi jam lo betah halnya kayak orang main game pagi sore orang nongkrong maghrib malam kesenangan berasa jam jam gua kayak gua sebutin gua malesan nih gua coding gua terpaksa tugas gua musti kudu wajib bikin aplikasi website sih beli nurani gua ya kali lo kuliah ngabisin duit orang tua lulusnya ya sono gua coding kagak faham rentang ta gua kagak singkat cerita website gua tuh minggu minggunya rapihin revisi dosen acc ya dalem kebanyakan gua tidur habis subuh jam an doang jadiii keterpaksaan gua ngerubah kebiasaan gua sehat produktif sok ditiru terpaksa programmer hidup sehat tidur jam sehari ya tau ah hahaha ah banget sorry abang dea numpang cerita,negatif
gua lulusan rpl gua pengin jago usia masuk dunia kerja terkendala ijazah sarjana,negatif
setuju banget nih abang kunci bidang konsisten belajar cepat banget berubahnya,positif
gue sehari besok praktek seminimal mudeng baca code html habis menonton channel abang frizal diasah gue,negatif
abang gue belajar ngelarin playlist bootstrap html bikin gue takut pas banget background kuliah enjoy banget mengikuti tutorial santai insightful mengikis ketakutan gue cupu ngerintis programmer btw gue abang next time moga kursus mengadakan ya,positif
kang dea junior programmer fresh graduate semangat belajarnya lihat video akang motivasi tersendiri pas lihat road map front end masya allah banget kang banget dipelajari pusing duluan kang dea menemukan belajar road map efektif istilahnya mah mundur dipertengahan jalan maju kedepanya keringat air mata lebay ya,positif
thanks curhat bro semoga progress skill ya keep up,positif
gua seminggu main gitar otodidak gara menonton tutor tutornya indonesia programming beda tutornya rame indonesia muter dananya kebanyakan tutornya berbayar,negatif
abang perusahaan ya kasih requirement ya pengalaman bidang cari perusahaan otodidak pengalaman,positif
thanks abang motivasinya gue banker usia belajar coding adik gue sorg proframmer bergaji berkali lipat gaji gue ajak gue belajar alhamdulillah gue privilage adik gue mentor pribadi gue niat kemauan kuat belajar tergantung kemauan fyi rumah kantor jam malam istirahat sejam belajar online jam tidur bsknya ngantor aplgi muda lowong belajar syukur teman mentor tau arah belajarnya semangat,positif
abang gua kls ajarkan gue programmer,positif
tnkyu abang butuh konten kayak naikin mood semangat belajar koding ya,positif
belajar koding ujung ya buka channel youtube googling berkali kali baca dokumentasi wakakakakaka,positif
buset belajar coding jam sehari mantap haha,positif
asli abang gue habis bertaun coding aslinya mah sebulan tau pelajarin tau belajar ya,negatif
menginspirasi kang dea stuck open video,positif
abang lulusan kesempatan join industri programing,positif
butuh kekehidupan normal selamat,positif
gue kosong langsung auto search youtube abang dea,negatif
gue ambil pekerjaan lumayan duit ilmu belajar cepat press deadline,positif
gila kerja resto bahagia abang,positif
mengapai resto abang cari pekerjaan koding sesuai dipelajari,positif
etdah bentar abang reply restonya deh gua balas pakai resto ya nice infonya abang sippp,positif
kayaknya ente baca komen salah reply,negatif
belajar coding umur abang umur,positif
junior kerja lulus belajar jam pahami konsepnya front end,positif
suka kang dea artikulasi ya enak didenger hhe,positif
gue seminggu tergantung niat ya,negatif
abang ya mengikuti cuyuniversity kelar cuyuniversity bootcamp abang,positif
abisin semester ya,positif
semester sembari ngisi kosong kerja,negatif
allah abang gua semangat menonton video,positif
ok gue testimoni moni gue wkwkw cuakkss asli asik baca posisinya ane mahasiswa disemester skripsi ane pakai laravel dimana ane cuman paham basic php diwaktu ane bootcamp kampus merdeka nadim front end bayangkan dimana bootcamp tenggat skripsi ku bayangkan php javascript berjalan skripsi amp project bootcamp question is ane tenyata pagi coding malam github auto menghijau sehijau ya awalannya pemahaman basic ya php html css javascript penakanan coding wawancara user gue gabut awokawokaw ya sebulan kerja software engginer gaji lumayan jakarta ya intinya the best sih guys,positif
intinya sih kerja keras keras set time belajar orang coding error orang ya penyabar tingkat semangatnya kuat banget semoga income belajr coding abang sharingnya semoga error,negatif
abang gua termotivasi thanks bang dea,positif
materi gue paham mode abang enak abang menunggu cuy university backend semester ya abang,positif
maaf banga banga,positif
developer gue setuju dea pelajarin memahami lantai bulanan engineer software engineer susah jangka pendek engineer kompleks scopenya dibanding developer,negatif
bingung bedanya developer engineer dea web programming unpas contoh developer imre nagi programming zaman now contoh engineer,negatif
gua puyeng pola auth pakai nextauth mengerti flownya asu sebulan ya banget gua dasar intermediate kayanya butuh wkwkw,positif
seahrii belajar shri kagak jujur gua belaajr coding otak jiwa butuh relaxsasi,negatif
terimakasih abang memotivasi pemula,positif
programmer menyerupai studio vidio pembuatan animasi program,positif
metode pembelajaran sistem mendengar praktek langsung terkadang binggu dosen kasih teori otak ku menapuk pembelajaran online,positif
thanks abang gue suka konten pemula butuh berkualitas menambah wawasan motivasi pemula semangat,positif
main ml kuat jam abang belajar coding sejam capek,positif
gua habis lulus bootcamp kerja nih belajar menguasai program mustahil paham codingnya asem,negatif
abang pekerjaan kah,positif
setuju kang tergantung daya tangkap tingkat penasaran modal utama tuh coding,negatif
abang coding buka lowongan kerja ya berpengalaman tuh,positif
video coding ya teman teman,negatif
berhasil bang nguasain kodingnya kasih saran bang lulusan programming soale coding basicnya ya saran ngelamar diperusahaan,positif
maaf abang tau belajar coding belajar spatau cocok roadmap ya abang,positif
abang abang gue belajar programming belajar bahasa pyton relate sih susah gan gue belajar bahasa pyton,negatif
sedih ya gue semangat perkakas kgk jir laptop gue minjem teman ngelarin skripsi machine learning berbasis web minggu wisuda apply junior programmer minder jir kgk laptop,negatif
semangat abang devicenya kah,positif
ya jelasin gue percaya sih abang langsung jelasin ya sederhana simple mudah pahami metode analogi ilutrasi,positif
cuman malas doang abang alesannya,negatif
coding memakai sense profesional programmer gua ecosystemnya sesempit profesional programmer,positif
abang spill conditioning pola pikirnya abang biar betah belajar mohon ijin orang tipe abang nyiptain nyesuaiin suasana pikiran betah amp nyaman situasi konsentrasi,positif
setuju abang dea belajar coding programming develop app sulit amp cepat kendala belajar kemampuan problem solving kemampuan orang beda kena problem langsung malas larii problem ambisius disolve suka problem solving dikit langsung tau mending stop programmer buang mending cari jobdesk programming isi ya coding mencari bug debug,negatif
abang gua curhat nih coba lu respon expert gua fresh graduate sistem informasi kerja pas skripsi pm susun erp perusahaan gua terjun dunia programmer kerja tech vb sql server js dikit job desc gua fullstack frontend backend metode gua copas web bekas senior pertanyaannya gua ganti metode build gua gua menilai gua programmer logika ya coba saran abang gua bimbang gua gua suka coding takut telat belajar logika ya,negatif
pemalas butuh tamparan,negatif
anak abang belajar coding coding,positif
abang pembahasannya sih belajar coding nol singkat mudah masuk tahap mid advance lumayan sulit jujur kali belajar python terbayang alurnya dibahas machine learning tau nol pelajarin basicnya lumayan paham project ml mengharuskan pakai library python advance disitu kesulitan mempelajari sintaks fungsi library kayak tensorflow matplotlib pandas numpy dll kelar paham alur kerja python python powerful library situ tertarik mencoba ngambil path data science amp data analyst coba ngambil bootcamp course gratisan nyediain path struggling belajar belajar sql visualisasi data kekhawatiran course bootcamp pesimis takut bingung porto darimana,positif
bikin simple regresi data iris dll cari abang kaggle datasetnya bagus belajar data analysis visual coba bikin reportnya pakai matplotlib python langsung gas pakai tableau metabase cmiiw ya,positif
sarannya abang,positif
tools visualisasi data kayak tableau amp gds familiar sih,positif
keren bed motivasinya abang,positif
abang keren gue murid gue subcribe,positif
abang gua kendala sesi html cointainer cssnya ngaruh web,negatif
abang usia posisi kerja desain percetakan komputer malam tidur kerja suka bikin blogspot monetasi ribu an pas suka progamer malam minggu ya memperdalam koding,positif
cicil dikit kebuka jalannya,negatif
abang niatnya gua kerusuhan kuliah kepanitiaan duniawi pengin join course lo doain hiks gua coding doanggg entar bertitle cs,negatif
kebingungan utama pribadi posisi programmer industri perusahaan sih sih dilakuin problem solving dikerjain dll terkadang dipelajari otodidak panduan learning berbeda penerapan ya industri perusahaan alhasil mohon pencerahan ya,negatif
ya solusinya bootcamp bang dijelasin bootcamp ajarain sejalan industri,positif
mantap bang ijin menyimak penerapan,positif
abang roadmapnya menyarankan videonya,positif
abang competitive programming kayak hackerrank leetcode,positif
pengin belajar coding cuman laptop hp abang,positif
abang bahasa inggris belajar pemograman industri bergabung course premium latihannya abang terima kasih abang,positif
b ing dimana bahasa international coding b ing ya tau jawabannya,negatif
nih gua bootcamp merasakan mudah html css bootstrap jalan intermediate kerasa nih sulitnya vue js gua familiar alhamdulillah ngerjain advance class bootcamp gua menjalani seminggu kali kelas,positif
bootcamp dimana ya abang,positif
motifasinya sih suka turun ya konsisten banget,positif
share pengalaman bikin app pakai laravel alhasil frontend pakai blade ditambah bootstrap belajar react kayaknya ilmu js ue deh belajar react delalah pas belajar react coba pakai bootstrap bingung ribet disisi css mengerti cari yutub terkait tailwind full seminggu watch and learn lihat praktek lihat praktek masuk minggu alhamdulillah mengerti tailwind mengerti terkait css minggu focus belajar js hook cepat belajar niat rajin praktek,positif
bro belajar js,positif
abang fullstack,positif
tidur abang jam belajar,positif
abang gue belajar programmer cuman lulusan umur programmer melamar perusahaan ane komputer cuman edit video design doang,negatif
bang gua belajar laptop belajar memakai android abang html dasar saran abang abang,positif
sih kang dea gue total blan react andai campur kerja cpat kadang bljar tbtb langsung ngantuk wkwk,positif
mendingan kuliah bootcamp puya duit,positif
ambil kuliah online krja,negatif
abang belajar coding ottodidak pakai situs progate abang dea worth ya berbayar,positif
gue pengin ya kuliah bootcamp abang gue kerja kuliah modal bootcamp,positif
rencananya habis kuliah bootcamp,positif
dicoding bootcamp,positif
abang gue discord gue kuliah ilmu tau gue teman,negatif
gue ya kepake wkwkwkw,positif
lulusan bootcamp golang semoga backend go salery digit hehe,positif
spill bootcampnya abang,positif
full otodidak sekolah lulusan jurusan marketing kerja marketing kuliah belajar pengoperasian server belajar coding python javascript kerja bumn telekomunikasi sysadmin backend programmer status kontrak gajinya standar ngembangkan ilmu hoby,positif
serius abang gakuliah keren sih belajarnya konsisten banget,positif
info sumber belajar abang,positif
abang kerja disana,positif
rencana kuliah sekedar cari ijazah kesibukan krja handle project intinya niat belajar fokus tujuan pastinya,positif
belajar gugel yutub enak belajar base on case studi ya terexplore,positif
semester belajar dasar,positif
kuliah enak merasakan bootcamp semester tinggal mengikuti kampus merdeka sks diconvert mengikuti kuliah,positif
asyik banget tuh beda banget zaman gua kuliah,negatif
jepang bikin motor terbang ges bahasa program,positif
abang zero skiil gabung bootcamp,positif
belajar video otodidak,negatif
belajar pure otodidak kang gratis biaya beli kelas bootcam ya komunitas circle,negatif
jabarcodingcamp abang semoga lolos besok tahap wawancara,positif
reflek niat masuk bootcamp,negatif
nongkrong ngelirik cewek the best,positif
bang qna kemarin terkait basic koding tau terkait programming langsung dipaksa atasan api aplikasi tolong jelasin bang step step api java,negatif
minggu coba belajar tutorial rest api springboot bang pas praktek membingungkan wkwk,positif
cepat bingung dilahap perlahan coba konsepnya cek playlist gue conceptbook namanya,negatif
abang bootcamp sekolah gue sekolah jurusan rpl ngebootcamp biar gue lulus langsung kerja abang,positif
abang bikin video belajar coding jenuh beban pas laptop fase,positif
kak kimia analis kuliah sistem informasi belajar ya susah banget usaha cuman ya susah sih,negatif
masuk abang bootcamp,positif
ya produktif kayak akang,positif
gua bootcamp backend memakai express js postgres bikin e commerce,positif
berorganisasi kuliah jurusan ti menjabat organisasi semester sks,positif
kecuali organisasi ngehasilin project,positif
versus diharuskan memilih gue memilih gue terbaik menjalani ketiganya kuilah mencari legalitas ilmu cari circle cari soft skill public speaking amp mentalitas terlepas ilmu perkuliahan biaya mahal otodidak melengkapi ilmu lo kuliah ilmu up date bootcamp sisi positif kuliah amp otodidak mencari circle kasta professional top tier link industri top tier,positif
gue kuliah bootcamp otodidak belajar sih html css fundamentals,positif
keren beda kuliah belajar otodidak,positif
gue kuliah ragu bootcamp seminar soalna sih,positif
gue sepemikiran abang,positif
belajar otodidak ya channel youtube googling,negatif
numpang nnya bang cari bootcamp dmnaa ya,positif
abang open loker kah,positif
abang kuliah sih bootcamp,positif
pagi abang abang blogger ganti template lupa cadangkan menautkan ulang aplikasi google search console tag manager dll ya kak,positif
berbagi abang terbatas uang nih bootcamp free butuh niat semangat namanya valley,positif
kuliah jurusan sosiologi pengin belajar coding v,positif
gua kuliah ambil pjj smt usia target masuk industri smt,positif
jujur mantan informatika sayang ya masuk kepala bingung entar design postingan itupun pengin urusan menangis,negatif
jujur gua suka otodidak otodidak bebas belajar gua butuh gelar ijazah,negatif
abang ngambil ips mengerti ya pengin banget pelajari aoa ya abang,positif
pemula banget nol laptop pc ya sekedar ngegame mohon bimbingannya ya kali,positif
tau dimana ya pelajarib algoritma mudah mengerti saran kah,positif
kak ips ya kuliah informatika,positif
maksud masuknya,positif
abang buka bootcamp cocok mentor wkwkw,positif
gue tertarik bidang coding kuliah mumet kaku pengin bootcamp duit otodidak satunya opsi dipilih btw situs situs bootcamp menyediakan kelas gratis spesifik bahasa pemrograman membantu belajar otodidak,negatif
thanks for sharing bro appreciate,positif
terkadang bootcamp manis mulutnya sesuai kenyataan kuliah mumet bootcamp kayak ambil bootcamp bidang stres gue pengin out kuliah lu durasi bootcamp serba cepat materinya singkat,positif
salah peserta bootcamp harisenin abang,positif
lulus abang pilih paket,positif
harisenin abang sarannya,positif
harisenin bagus kak,positif
vuset komen reply wkwk bagus gaknya sih subjektif ya tergantung mauliat sisi niatnya belajar sih menurutku garugi ya buatku disanatu phase learning ya cepat lanjutkan bootcamp disitu kelar skripsian wkwk alhamdulillah part bumn freelance,positif
abang sharing pengalaman senin,positif
abang bikin konten teman abang circle bootcamp cari teman abang bootcampnya beda disitu bootcamp a bootcamp b syaratnya hasil apapun jujur banget ane lulusan kuliah sarjana kerja wawasan ajarkan kampus otodidak butuh pengetahuannya mencari keyword pengin banget bootcamp teman ane bootcamp bilang worth teman ane bootcamp harganya mahal taulah abang pastinya taunya bootcamp interview bootcamp referensi kalangan abang terima kasih perhatiannya komentar abang,negatif
monmaap bootcamp mahal bootcamp ya,positif
logonya rubah,negatif
oding mahal lumayan bro kelas android dev,positif
abang bikin proyek kalkulator kredit pakai js,positif
umur kesempatan belajar berkarir bidang pemrograman ya basic,positif
aduh closingan ya ngeri btw ingpo ya banggg,positif
kuliah jurusan sistem informasi pelajaran pemrograman dasar doang explore circle anak suka pemrograman doang pemrograman,positif
iya setuju suka mencari teman produktif alias terjun langsung circle profesional,positif
asli abang gue semangat melupakan lagib semangat melupakan,positif
programmer pengin pc,positif
belajar praktek menyimak baca disiplin mindsetnya sih,positif
bootcamp muahal banget posisi tau gagal nyerah masuk otak pembelajaranya buru,negatif
namanya bootcamp materinya cepat amp padat,positif
abang tamatan sd masuk indrustri,positif
gua kuliah ilmu komputer semester pengin banget software engineer sambi kerja support startup susah software engineer wkwk,positif
semudah dibayangkan ya abang gue maba teknik informatika kerja support harapannya pengin cari relasi sbulan pergerakan nih wkwk,positif
kena infinity hell belajar jago jago,positif
bang saran bagusan next js node js,positif
belajar beririsan next js fitur namanya node js serverless function api disana cuman saranku sih biar paham konsep api client belajar react node js belajar berkomunikasi,positif
belajar bang dasar dasarny,positif
gua kuliah kerja abang semester prodi t informatika abang dea kuliah pakai uang bikin termotivasi senang ngejalaninnya,positif
abang wort kuliah bootcamp,positif
wort abang selagi online kwkw mendalam belajarny,positif
kuliah bootcamp benaran pekerjaan abang,positif
bikin sesi cerita subcriber otodidak kuliah orang bootcamp banf gue pengin sharing,negatif
gua kerja bootcamp ya,positif
cari bootcamp kelas malam remote weekend,positif
materi kuliah kampus akreditasi ya a ksekarang compare course bootcamp beda kampus ya elit ya,negatif
gue bootcamp dumbways langsung disalurin kerja pemaksaan kerja bootcamp ya nyalurin salah perusahaan ya resign mengikuti aturan,negatif
mahal abang dumbways,negatif
aturan sono gue gabole mengasih tau publish pokoknya dibawah juta deh dicicil kali,negatif
stage stage jam stage ya jam mess suruh bawa sarung bantal wkwk,positif
oh offline ya abang,positif
pengin cepat kerja bikin perusahaan entar langsung direktur wkwkkwk,positif
teknik elektro pengin pindah programmer abang,positif
expert ngandelin materi perkuliahan gue mustahil perkembangan teknologi cepat banget materi kuliah diperbarui belajar kelas explor lulus skill lo relevan pasar butuhkan lo lulus kuliah lo php native requirement job programmer dibutuhin ci laravel ya lo ambil jobnya lo memaksa entar pas tes interview ngang ngong ngang ngong persyaratannya experienced years manfaatkan kuliah belajar basicnya menambah pengalaman magang organisasi menambah softskill banget diluar ya lo belajar bootcamp full otodidak mencari course its up you,positif
abang bootcamp relate dunia kerja diajari versioning fundamental coding api deployment docker ci softskill ya belajar kolaborasi team be fe git workflow trunk based dev dll kadang diajari tuh scrum biar hasil teamwork ya optimal,positif
kuliah memilih bootcamp mencari kerja gampang abang,positif
bootcamp ya kerja startup perusahaan disalurkan gas abang,positif
bahas asto js abang hit,positif
akang mohon bahas file htaccess ext php akses tampil txt kang cari cari ketemu,positif
memilih kuliah soalny kuliah akses sertifikasi gelar akses magang bejibun ikatan alumni ordal,positif
gua kuliah ilmunya jarang pakai didunia nyata,negatif
gue lulusan bootcamp hacktiv nyicil isa gue menyesal bersyukur kerja beli alat drum hobi gue gue bootcamp salah opsi belajar otodidak hasil gue orangnya malesan dijamin belajar jam masuk bootcamp teman kayak malas bootcamp saran pilih diatas juta keatas motivasi belajar giat,negatif
nyicil isa abang besaran real,positif
an gaji ya gaji gue wkwk kontrak lunas juta isa kali harga normal beda sih angkatan terbaru kayaknya,negatif
masuk biaya pendaftaran dp sejenisnya abang,positif
pas gue juta pas lulus memilih diambil ngurangin cicilan gue ambil sih upgrade pc lumayan hehe,positif
kampus gue prodi informatika kuliah setahun sefrekuensi niat belajar cuman orang doang an orang,negatif
fakta sisanya ikutan,positif
abang baju nux bikin cover musik abang,positif
dicoding bootcamp ya,positif
bootcamp gratis basic gratisan ya ngelamar kesana kemari panggilan pagi gue interview online semoga kabar keterima kerja,positif
bootcamp dimana bro,positif
bootcamp abang,positif
gue menyarankan mending berbayar gue duit kepengen bootcamp berbayar daya menuhin harapan codepolitan bootcamp ya bagus mahal juta juta mahal ukuran gwmah uangnya kurikulumnya php vuejs kemari gue gagal ngelanjutin bootcamp level middle gratisan lolos submission kali bintang bintang ratingnya jelek pas menyelesaikan kurikulum ujiannya lulus seleksi tahapan middle kurikulum ya bagus gratis mentornya kasih penjelasan sayangnya gue terpilih,negatif
dicoding ya abang,positif
bootcamp dicoding tuh keren,positif
kak kakak bikin bootcamp,positif
bootcamp gratismah ngejamin kang level basic gue alamin kayaknya bootcamp berbayar hacktive salah mahal pengin ngikut kagak duitnya,negatif
maaf bang izin abang bootcamp gratis abang,positif
bang bootcamp sih mencari kerja bingung otodidak kuliah,negatif
santai abang selesain buru,negatif
kayak sertif bootcamp abang ngelamar pekerjaan,positif
boothcamp gratisan sertifikat ya abang,positif
kuliah abang ya studi independen,positif
abang sebutkan bootcamp rekomendasi abang abang terbukti bootcamp ya,positif
tua abang nganggur insekyur enak an beban keluarga,positif
umur ngaruh bidang kak start belajar umur kerja role front end semangat ana abang,negatif
omongan termindset gua abang web errornya jagonya gua coba web topup diamond modal ajarkan dikonten yt modal ilmu share kemauan gua belajar mnurut gua bersaing dunia kerja pribadi pandangan gua,negatif
banget abang alhamdulilah otodidakgw kontrak salah software house,positif
belajar bang,positif
abang bootcamp kuliah rugi sih perusahaan hiring partnernya gede min lulusan sarjana,negatif
bantu abang ijazah pengaruh bootcamp hiring partner lihat nilai skill bootcamp nilai skill gampang digit,positif
abang popcast lulusan kuliah bootcamp popcast,positif
otodidak kuliah sayangnya konsisten,positif
abang dea nih pas masuk kerja pakai laptop pc abang,positif
kuliah nih abang bingung coding,negatif
mending bootcamp langsung kerja junior,positif
mahal sih abang p kah,negatif
info bootcamp larvel suhu,positif
stres coding channel beliau solusinya,negatif
abang gue mahasiswa butuh motivasi abang penasaran potensi gaji anak sekaya abang hehehe,positif
abang gue muak kuliah kimia murni enek banget reaksi reaksi semu pengin out kimia kimiaan lulus kayaknya gue coba nyemplung kuat ya,negatif
abang kayak gue abang otodidak madrasah aliah kerja siapin mental pantang menyerah inti ya,positif
aduh samaan bedanya belajar desktop,negatif
abang programmer level entry abang,positif
pas banget memikirkan arah eh nongol kontennya dosen relate,positif
o n t gaming dosen cuyuniversity,positif
wkwkwkkwkw,positif
gua lulus bootcamp nganggur,positif
info bootcamp abang sharing pengalaman,positif
bootcamp abang,positif
uiux sih abang,positif
abang,positif
versi gue timelinenya bwang kuliah sastra stres smt kopong otodidak coding bingung nemu bootcamp bayar bootcamp stres wkwkwk lulus bootcamp gas apply kerja lamaran offering kerja iya mengerti gue sebulan kerja berkat bootcamp gue skill gue jual jago jago wehehe,negatif
ig mas,positif
bootcamp bro recomend,positif
info bootcamp,positif
nama bootcampnya bro,positif
info bootcamp bro,positif
disponsori harisenin ya abang,positif
cuy university masuknya tuh bangbro,positif
abang abang belajar otodidak pengin abang kebanyakan company pakenya posgresql mysql mudah tutorialnya,positif
naa sekelas gojek transkasinya harian pakai postgre handle jutaan transaksi berbayar pakai mysql cmiiw,positif
naa yups disamping teknis pertajam fundamental r amp ya teknologi luas salah menentukan tools pakai berpengaruh sisi aplikasi transaksi ya pakai jutaan user belajar otodidak kuliah perkuliahan diajarkan detail belajar otodidak bootcamp fondasi kuliah belajar melatih pola berpikir bilang kuliah kampus dunia pembelajarannya beda praktik kuliah kuliah melatih kerangka befikir bikin aplikasi pakai tools kembangkan,negatif
naa kalopun biaya kuliah menyediakan beasiswa pendidikan niat belajarnya salah jalan cmiiw,negatif
pengalaman gue jurusan ekonomi buta programming belajar programming desember belajar otodidak teman mentor gue stuck februari bootcamp tahapan bootcamp gue ijazah ditahan maret september belajar otodidak youtube baca doc dll sehari gue belajar jam september skill gue not expert paham alur penggunannya html css bootstrap taildwind javascript react redux express js alhamdulillah kerja salah startup jakarta note gue sebar cv juni diterima kerja september,negatif
mantap kali abang tes masuk ya bang front end dev dikasih coding interview,positif
iya total kali coding test kali interview coding test upload file cloud amazon orang digitalocean coding debungging creat component dll jam sisanya interview user,positif
share belajr yt ya abang,positif
nih abang gue akuntansi kuliah ya nganggur upgrade skill bikin portofolio alhamdulillah kerja seminggu pengalaman gue sih mentor teman suka programmer gue ngalamin teman suka programmer bikin semangat ya turun,positif
abang bedanya java vscode ya gue ikuti tutorial diytb html css mengerti kuliahan pakai java neatbeans mohon bantu abang salah dikoreksi ya belajar,positif
java bahasa pemrograman utilitas java vscode aplikasi coding suka ui simple apk pendukung,positif
politeknik ngab,positif
naa belajar enakan bro menurutmu ch bahasa progaming java share belajar wkwk,positif
java enak intellij idea channel lihat unpas programmer zaman now,positif
abang belajar sistem bilangan konversi bilangan sih coding,positif
enkripsi iya coding logika sederhana normal ya kecuali butuh presisi ketelitian dipakai susah kayak,negatif
nih menit gue note menemukan video kalimat kang dea how learn programming if i could start over bikin trigger percikan penyesalan gue sibuk mencari bahasa terbaik versi gue wkwkwkwk v,negatif
menonton chanel abang dea afrizal jalan ninja ku,positif
thanks banget abang bermanafaat banget info ya,positif
info ya biaya kos jaksel berkisar berpa ya terimakasih,positif
bootcamp abang maksud,positif
gua kuliah coding setahun doang namanya dosen mengasih ilmu programmer disuruh mencari diluar gua tamat lupa pekerjaan sesuai jurusan kerja sesuai jurusan susahnya nyarinya terkendala ipk kuliah disebabkan mengkritik dosen kuliah mahal gua dizaman mending otodidak cari mentor pengin jago coding programmer kuliah mahal entar sesuai ekspektasi,negatif
dikasih kulit ya doang dagingnya ya explore,negatif
i a a n laweih official coding salah software engineering bro coba cari software development life cycle,positif
i a a n laweih official ya langsung real case kadang otodidak berurutan belajar ya,negatif
iya metode kampus gua dikasih kulit doang kampus beda,negatif
bootcamp,positif
sih otodidak rencana kuliah belajar otodidak bingung bahasa pemrograman,negatif
mama abang,positif
lelah cari magang,positif
salah pilihan terbaik diambil mengikuti course online mengasih sertif kayak freecodecamp lumayan mini project sertifnya dimasuki portofolio,positif
bootcamp jaminan kerja lulus bootcamp bootcamp ya jaminan lulus alias materinya susah banget bro banget gugur lulus materinya padat kereta ekspres mengikuti materinya ya gugur duitnya hilang wkwk gue bootcamp kuatkan niat belajar gugur,negatif
pengalaman pribadi ya mas,positif
gue lulusan bootcamp teman seangkatan gue mundur jalan,negatif
lulus bootcamp kerja pengalaman gua pribadi orang cepat kerja bootcamp tuh gelar sarjana pengalaman kerja lulus chancenya saran gua pribadi lulusan hindari bootcamp berbayar isa memilih bootcamp gratis syarat penahanan ijazah sih ditambah nginap asrama ditambah bootcamp gratis dipungut biaya sepeserpun dijamin kerja syarat mengabdi perusahaan balas jasa bayaran bootcampnya gaji bulanan kerja intern ya,positif
pengalaman gua final project bareng team total lancar lulusnya teman kelas sisa orang duluan gua lulus ketemu gua kayak kakak tingkat lulus bareng jujur gua setress banget begadang gua lulus buang gua switch career terpaksa kena dampak pandemi bali dibilang diatas orang nyerah lulusan bootcamp kerja tau deadline project bootcamp chapter mepet mulu,negatif
bootcamp dimana kak,positif
salam tokyo abang programmer amatir,positif
habis menonton video gua pengin berhenti kuliah langsung bootcamp gua beban,negatif
lanjutkan abang kuliahnya saran indonesia company recrut programmer lulusan sarjana jarang sih abang setau lulus kuliah bekal ilmu coding bootcamp cari relasi menambah ilmu,positif
bootcamp murah dimana abang,positif
tiganya memilih hehe,positif
kak numpang kakak jelasin orang wni wna kak apakaah masuk bootcamp langsung pekerjaan wna,positif
pengaruh sih startup asing tinggal indonesia kerja disitu aman tentram sejahtera,positif
startup indonesia orang asing wna kerja programmer,negatif
kebanyakan sih orang india setahuku wna,negatif
abang gampangan belajar front end web developer back end web developer,positif
gampang front end bro gua,positif
hasil langsung back end error tau salah,negatif
abang dea bikin list belajar java script otodidak,negatif
coba search yt ya sandhika galih bang lengkap situ penjelasannya mudah memahami nama youtube ya web programming unpas,positif
thanks kang dea informasi ya rekomendasikan adek gue pahit ya gagal masuk ptn,positif
gua kuliah gua seriusin kuliah abang,positif
saran bootcamp belajar otodidak online course ya dqlab proa kominfo,positif
rekom abang buku pakai progreming pemula otodidak,positif
ending priittt wkwk,positif
gue kuliah abang pengin otodidak menambah menambah ilmu ngejar ketertinggalan gue ngambilnya otomotif,negatif
bro,positif
tanyak teman kuliah dkv ngebutuhin selesai kuliahnya kerjanya,positif
telat ya kuliah bidang umur,negatif
bang mandang umur mandang umur kerja fisik,positif
syarat lowongan kerja laki laki usia maksimal oke fine,positif
